,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
124,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,22112*theta_K^3 - 144848*theta_K^2 + 120128*theta_K + 15344,-106388480/9*theta_K^3 + 560919040/9*theta_K^2 - 147010048/3*theta_K - 57719168/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
125,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,-13664*theta_K^3 + 27440*theta_K^2 + 94080*theta_K - 120144,17105408/9*theta_K^3 - 36691456/9*theta_K^2 - 38323456/3*theta_K + 149957504/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
126,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,-6788704/7*theta_K^3 + 14400976/7*theta_K^2 + 45834944/7*theta_K - 59931888/7,-10290691072/9*theta_K^3 + 21760162304/9*theta_K^2 + 23182989824/3*theta_K - 90298953856/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
127,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,-58272/7*theta_K^3 + 117200/7*theta_K^2 + 421760/7*theta_K - 545712/7,8696320/9*theta_K^3 - 18859520/9*theta_K^2 - 18896128/3*theta_K + 74749312/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
128,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,-58272/7*theta_K^3 + 117200/7*theta_K^2 + 421760/7*theta_K - 545712/7,-8696320/9*theta_K^3 + 18859520/9*theta_K^2 + 18896128/3*theta_K - 74749312/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
129,x^4 - 2*x^3 - 7*x^2 + 8*x + 1,4,4,0,3600,22112*theta_K^3 - 144848*theta_K^2 + 120128*theta_K + 15344,106388480/9*theta_K^3 - 560919040/9*theta_K^2 + 147010048/3*theta_K + 57719168/9,x^4 - 1370337635584848362400*x^3 + 15510636623637225985530243375*x^2 - 3213137488352330508627918491550000*x + 51848746810441819437662737568196890625,4,True,True
130,x^4 - 2*x^3 - x^2 + 6,4,0,2,3648,-3520/3*theta_K^3 + 9920/3*theta_K^2 - 1280/3*theta_K - 11200/3,971264/27*theta_K^3 - 3164672/27*theta_K^2 + 71680*theta_K + 1541120/27,8000,1,True,True
131,x^4 - 2*x^3 - x^2 + 2*x + 3,4,0,2,3648,1280/3*theta_K^3 - 320*theta_K^2 - 3200/3*theta_K - 2560/3,71680/9*theta_K^3 - 121856/27*theta_K^2 - 480256/27*theta_K - 394240/27,8000,1,True,True
132,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,490/3*theta_K^3 - 547/3*theta_K^2 + 2210/3*theta_K + 1859/3,8836/9*theta_K^3 - 20218/3*theta_K^2 + 130372/9*theta_K - 767494/27,x^4 - 133118*x^3 + 4480035075*x^2 + 606205954*x + 454756609,4,True,False
133,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,-4785/2*theta_K^3 + 41630/3*theta_K^2 - 184573/6*theta_K + 54764,-18779644*theta_K^3 - 20055722/3*theta_K^2 - 106271284/3*theta_K - 6176619862/27,x^4 - 133118*x^3 + 4480035075*x^2 + 606205954*x + 454756609,4,True,False
134,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,56/3*theta_K^3 - 8*theta_K^2 + 272/3*theta_K + 464/3,1024/27*theta_K^3 - 512/3*theta_K^2 + 3584/9*theta_K - 22400/27,x^4 - 92416*x^3 + 2357142593*x^2 - 8868774734528*x + 9078186983610529,4,True,False
135,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,5/6*theta_K^3 - 31/6*theta_K^2 + 7*theta_K - 67/3,-16/27*theta_K^3 - 8/9*theta_K^2 - 8/3*theta_K - 238/27,x^4 - 92416*x^3 + 2357142593*x^2 - 8868774734528*x + 9078186983610529,4,True,False
136,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,-7696/3*theta_K^3 + 13336/3*theta_K^2 - 40376/3*theta_K + 57056/3,-409600/9*theta_K^3 - 759808/3*theta_K^2 - 1497088/9*theta_K - 34916224/27,x^4 - 8562674656*x^3 + 19195637637363327233*x^2 - 1976177129991511940138528*x + 53793857622409931657633292289,4,True,False
137,x^4 - 2*x^3 + 11*x^2 - 10*x + 28,4,0,2,3681,-247/6*theta_K^3 - 277*theta_K^2 + 2351/6*theta_K - 5984/3,6400/9*theta_K^3 - 18272/3*theta_K^2 + 113824/9*theta_K - 741790/27,x^4 - 8562674656*x^3 + 19195637637363327233*x^2 - 1976177129991511940138528*x + 53793857622409931657633292289,4,True,False
138,x^4 - 2*x^3 - 2*x^2 + 3*x + 4,4,0,2,3773,-320*theta_K^3 - 55*theta_K^2 + 615*theta_K + 545,6512*theta_K^3 - 1162*theta_K^2 - 16630*theta_K - 13450,-3375,1,True,True
139,x^4 - 2*x^3 - 2*x^2 + 3*x + 4,4,0,2,3773,4505*theta_K^3 + 1615*theta_K^2 - 7140*theta_K - 6800,-75696*theta_K^3 + 181146*theta_K^2 + 496470*theta_K + 330600,16581375,1,True,True
140,x^4 - x^3 - 4*x^2 + 2*x + 1,4,4,0,3981,-224/3*theta_K^3 + 288*theta_K^2 - 272/3*theta_K - 224/3,-26624/27*theta_K^3 + 4736/3*theta_K^2 - 256*theta_K - 896/3,x^4 + 26588*x^3 + 36870446*x^2 - 132863674228*x + 43291617187897,4,True,False
141,x^4 - x^3 - 4*x^2 + 2*x + 1,4,4,0,3981,336*theta_K^3 - 1984/3*theta_K^2 - 544*theta_K + 688,-46208/27*theta_K^3 + 18560/3*theta_K^2 - 17792/3*theta_K + 1664,x^4 + 42497*x^3 - 113063650*x^2 + 40453718408*x + 44185402931977,4,True,False
142,x^4 - x^3 - 4*x^2 + 2*x + 1,4,4,0,3981,320944/3*theta_K^3 - 858272/3*theta_K^2 + 214240/3*theta_K + 54656,61182976*theta_K^3 - 503770624/3*theta_K^2 + 147568000/3*theta_K + 935979392/27,x^4 + 16897869255425*x^3 + 1179508811343164772669890*x^2 + 443176068610768505445630943556*x + 1422750837345294546920538625882537,4,True,False
143,x^4 - x^3 - x^2 + 2*x + 4,4,0,2,3993,-1792/3*theta_K^3 + 3328/3*theta_K^2 - 256/3*theta_K - 5632/3,315392/27*theta_K^3 - 229376/9*theta_K^2 + 114688/9*theta_K + 222208/9,-32768,1,True,True
144,x^4 + 5*x^2 - 3,4,2,1,-4107,512/3*theta_K^3 - 128*theta_K^2 + 2944/3*theta_K - 2176/3,-2048*theta_K^3 + 1536*theta_K^2 - 34304/3*theta_K + 226816/27,4096,1,True,False
145,x^4 + 5*x^2 - 3,4,2,1,-4107,-1408*theta_K^3 - 3200*theta_K^2 - 7808*theta_K - 53248/3,-729088/3*theta_K^3 - 249344/3*theta_K^2 - 4040192/3*theta_K - 12435968/27,x^4 - 35618406400*x^3 + 80479740732899328*x^2 - 1152711769740191727616*x + 7607426729115165084614656,4,True,False
146,x^4 + 5*x^2 - 3,4,2,1,-4107,1408*theta_K^3 - 3200*theta_K^2 + 7808*theta_K - 53248/3,729088/3*theta_K^3 - 249344/3*theta_K^2 + 4040192/3*theta_K - 12435968/27,x^4 - 35618406400*x^3 + 80479740732899328*x^2 - 1152711769740191727616*x + 7607426729115165084614656,4,True,False
147,x^4 + 5*x^2 - 3,4,2,1,-4107,-432128*theta_K^2 - 7184128/3,-809037824/3*theta_K^2 - 40348697600/27,38477541376,1,True,False
148,x^4 + 5*x^2 - 3,4,2,1,-4107,4544896/3*theta_K^3 - 1122304*theta_K^2 + 25184768/3*theta_K - 18658432/3,1652704768*theta_K^3 - 3650028032/3*theta_K^2 + 27474798080/3*theta_K - 182035831808/27,x^4 - 56966812054897816563956269465600*x^3 + 127153763350135483704470518332653568*x^2 - 60938808955650253589586276696463507456*x + 2194043690457521222005670223097628905701376,4,True,False
149,x^4 + 5*x^2 - 3,4,2,1,-4107,1795968*theta_K^3 - 1328000*theta_K^2 + 9952128*theta_K - 22075648/3,2781589504*theta_K^3 - 6141103616/3*theta_K^2 + 15413846528*theta_K - 306271801856/27,x^4 - 56966812054897816563956269465600*x^3 + 127153763350135483704470518332653568*x^2 - 60938808955650253589586276696463507456*x + 2194043690457521222005670223097628905701376,4,True,False
150,x^4 - x^3 - 5*x^2 - x + 1,4,4,0,4205,352/3*theta_K^3 - 160*theta_K^2 - 1552/3*theta_K + 208/3,166400/27*theta_K^3 - 9856*theta_K^2 - 673792/27*theta_K + 82432/9,x^2 + 18891*x - 357911,2,True,False
151,x^4 - x^3 - 5*x^2 - x + 1,4,4,0,4205,80/3*theta_K^3 + 128/3*theta_K^2 + 80/3*theta_K,28288/9*theta_K^3 + 52736/9*theta_K^2 + 26368/27*theta_K - 26368/27,x^2 + 18891*x - 357911,2,True,False
152,x^4 - x^3 - 5*x^2 - x + 1,4,4,0,4205,-80/3*theta_K^3 - 3632/3*theta_K^2 - 80/3*theta_K,1296256/27*theta_K^3 - 1624576/9*theta_K^2 - 812288/27*theta_K + 812288/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
153,x^4 - x^3 - 5*x^2 - x + 1,4,4,0,4205,80/3*theta_K^3 - 3712/3*theta_K^2 + 80/3*theta_K,-702848/9*theta_K^3 - 1624576/9*theta_K^2 - 812288/27*theta_K + 812288/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
154,x^4 - 9*x^2 + 4,4,4,0,4225,15976/3*theta_K^3 + 3656*theta_K^2 - 136288/3*theta_K - 31184,-12581632/27*theta_K^3 - 8615936/27*theta_K^2 + 107335424/27*theta_K + 8167040/3,x^2 - 14432*x + 6967871,2,True,False
155,x^4 - 9*x^2 + 4,4,4,0,4225,-7517/4*theta_K^3 - 8057/6*theta_K^2 + 64129/4*theta_K + 22911/2,4538324/27*theta_K^3 + 347438/3*theta_K^2 - 1433964*theta_K - 2964038/3,x^2 - 14432*x + 6967871,2,True,False
156,x^4 - 9*x^2 + 4,4,4,0,4225,-3179/4*theta_K^3 - 14161/6*theta_K^2 + 935/4*theta_K + 2023/2,-49140*theta_K^3 - 3879722/27*theta_K^2 + 67340/3*theta_K + 1808114/27,4913,1,True,False
157,x^4 - 9*x^2 + 4,4,4,0,4225,-3116*theta_K^3 - 11200*theta_K^2 - 6108*theta_K + 200/3,-2168320/3*theta_K^3 - 6179840/3*theta_K^2 + 523264*theta_K + 29486720/27,x^4 - 7591700500*x^3 - 214070614145875*x^2 + 1032178550188187500*x - 1039809380322920609375,4,True,False
158,x^4 - 9*x^2 + 4,4,4,0,4225,3072*theta_K^3 + 3584*theta_K^2 - 20864*theta_K - 44944/3,-168960*theta_K^3 - 465920/3*theta_K^2 + 3895808/3*theta_K + 24510080/27,x^4 - 7591700500*x^3 - 214070614145875*x^2 + 1032178550188187500*x - 1039809380322920609375,4,True,False
159,x^4 - 9*x^2 + 4,4,4,0,4225,172*theta_K^3 + 64*theta_K^2 - 1444*theta_K - 2104/3,6656/3*theta_K^3 + 5120/3*theta_K^2 - 57344/3*theta_K - 373120/27,x^4 - 7591700500*x^3 - 214070614145875*x^2 + 1032178550188187500*x - 1039809380322920609375,4,True,False
160,x^4 - 9*x^2 + 4,4,4,0,4225,-172*theta_K^3 + 64*theta_K^2 + 1444*theta_K - 2104/3,-6656/3*theta_K^3 + 5120/3*theta_K^2 + 57344/3*theta_K - 373120/27,x^4 - 7591700500*x^3 - 214070614145875*x^2 + 1032178550188187500*x - 1039809380322920609375,4,True,False
161,x^4 - 9*x^2 + 4,4,4,0,4225,1448/3*theta_K^3 - 1400*theta_K^2 - 736/3*theta_K + 560,-746240/27*theta_K^3 + 2182144/27*theta_K^2 + 38144/3*theta_K - 1030528/27,x^4 - 1105535750*x^3 + 136923680722875*x^2 - 3570540659272343750*x + 6569699542682191890625,4,True,False
162,x^4 - 9*x^2 + 4,4,4,0,4225,-28/3*theta_K^3 - 200*theta_K^2 - 1204/3*theta_K - 200,48640/27*theta_K^3 + 117760/27*theta_K^2 - 6656/3*theta_K - 81280/27,x^4 - 1105535750*x^3 + 136923680722875*x^2 - 3570540659272343750*x + 6569699542682191890625,4,True,False
163,x^4 - 9*x^2 + 4,4,4,0,4225,-728/3*theta_K^3 + 200*theta_K^2 + 6496/3*theta_K - 2000,20992/3*theta_K^3 - 117760/27*theta_K^2 - 1603072/27*theta_K + 978560/27,x^4 - 1105535750*x^3 + 136923680722875*x^2 - 3570540659272343750*x + 6569699542682191890625,4,True,False
164,x^4 - 9*x^2 + 4,4,4,0,4225,6148/3*theta_K^3 + 1400*theta_K^2 - 52436/3*theta_K - 12040,-118016*theta_K^3 - 2182144/27*theta_K^2 + 27185408/27*theta_K + 18608768/27,x^4 - 1105535750*x^3 + 136923680722875*x^2 - 3570540659272343750*x + 6569699542682191890625,4,True,False
165,x^4 - 9*x^2 + 4,4,4,0,4225,228*theta_K^3 + 629*theta_K^2 - 1956*theta_K - 16004/3,255632/27*theta_K^3 + 17166*theta_K^2 - 2157632/27*theta_K - 148952,x^4 - 1221933793432832500*x^3 + 1307271426492802546569125*x^2 + 3607825341181073687500*x - 8654390677050111883109375,4,True,False
166,x^4 - 9*x^2 + 4,4,4,0,4225,-84408*theta_K^3 - 57016*theta_K^2 + 720096*theta_K + 1459216/3,21725095936/27*theta_K^3 + 550345728*theta_K^2 - 185339593216/27*theta_K - 4695070336,x^4 - 1221933793432832500*x^3 + 1307271426492802546569125*x^2 + 3607825341181073687500*x - 8654390677050111883109375,4,True,False
167,x^4 - 9*x^2 + 4,4,4,0,4225,16148*theta_K^3 - 5696*theta_K^2 - 137756*theta_K + 145736/3,-158822656/3*theta_K^3 + 75369472/3*theta_K^2 + 1354936576/3*theta_K - 5786880896/27,x^4 - 1221933793432832500*x^3 + 1307271426492802546569125*x^2 + 3607825341181073687500*x - 8654390677050111883109375,4,True,False
168,x^4 - 9*x^2 + 4,4,4,0,4225,56756/3*theta_K^3 + 13056*theta_K^2 - 483052/3*theta_K - 110312,88943872/27*theta_K^3 + 59607040/27*theta_K^2 - 84833024/3*theta_K - 522190720/27,x^4 - 1221933793432832500*x^3 + 1307271426492802546569125*x^2 + 3607825341181073687500*x - 8654390677050111883109375,4,True,False
169,x^4 - 9*x^2 + 4,4,4,0,4225,-48059/4*theta_K^3 - 214081/6*theta_K^2 + 14135/4*theta_K + 30583/2,-3587220*theta_K^3 - 283219706/27*theta_K^2 + 4915820/3*theta_K + 131992322/27,16974593,1,True,False
170,x^4 - 9*x^2 + 4,4,4,0,4225,-21052/3*theta_K^3 + 3704*theta_K^2 + 198508/3*theta_K - 50056,-23722496/27*theta_K^3 + 1383424/3*theta_K^2 + 217828352/27*theta_K - 151346048/27,x^2 - 288111549478352*x - 986052352809996289,2,True,False
171,x^4 - 9*x^2 + 4,4,4,0,4225,-22871/12*theta_K^3 + 2141/2*theta_K^2 + 212771/12*theta_K - 26881/2,-4181968/27*theta_K^3 + 2553334/27*theta_K^2 + 37096976/27*theta_K - 2881214/3,x^2 - 288111549478352*x - 986052352809996289,2,True,False
172,x^4 - x^3 - 3*x^2 - x + 8,4,0,2,4312,2415/2*theta_K^3 - 2800*theta_K^2 - 2255/2*theta_K + 4460,34425*theta_K^3 - 25008*theta_K^2 - 223465*theta_K + 300040,-3375,1,True,True
173,x^4 - x^3 - 3*x^2 - x + 8,4,0,2,4312,85/2*theta_K^3 - 85/2*theta_K - 255,-285*theta_K^3 + 285*theta_K + 1254,16581375,1,True,True
174,x^4 - x^3 + 2*x^2 - 7*x + 7,4,0,2,4312,-850/3*theta_K^3 + 2165/3*theta_K^2 - 1660/3*theta_K + 95/3,21962/3*theta_K^3 - 70774/3*theta_K^2 + 79754/3*theta_K - 29134/3,-3375,1,True,True
175,x^4 - x^3 + 2*x^2 - 7*x + 7,4,0,2,4312,-595/3*theta_K^3 - 1615/3*theta_K^2 + 6545/3*theta_K - 5440/3,-2470*theta_K^3 + 34238*theta_K^2 - 74290*theta_K + 50540,16581375,1,True,True
176,x^4 - 11*x^2 + 31,4,0,2,4464,8264/3*theta_K^3 + 19096/3*theta_K^2 - 47072/3*theta_K - 110156/3,-107952*theta_K^3 - 606256/3*theta_K^2 + 837744*theta_K + 45972560/27,x^4 + 2260448*x^3 + 1341870800715*x^2 - 602973270329338*x + 68157802849148641,4,True,False
177,x^4 - 11*x^2 + 31,4,0,2,4464,2512/3*theta_K^3 - 4420/3*theta_K^2 - 20824/3*theta_K + 13732,107952*theta_K^3 - 606256/3*theta_K^2 - 837744*theta_K + 45972560/27,x^4 + 2260448*x^3 + 1341870800715*x^2 - 602973270329338*x + 68157802849148641,4,True,False
178,x^4 - 11*x^2 + 31,4,0,2,4464,293632*theta_K^3 - 2299136/3*theta_K^2 - 1259136*theta_K + 10274416/3,-575470592/3*theta_K^3 + 491505664*theta_K^2 + 2596893184/3*theta_K - 61784510848/27,x^4 + 1263878*x^3 + 401333231115*x^2 - 228300431859208*x + 4408370553431658241,4,True,False
179,x^4 - 11*x^2 + 31,4,0,2,4464,-48064/3*theta_K^3 + 200704/3*theta_K^2 - 147968/3*theta_K - 141584/3,-146238208/3*theta_K^3 + 112946944*theta_K^2 + 828647936/3*theta_K - 17497702528/27,x^4 + 1263878*x^3 + 401333231115*x^2 - 228300431859208*x + 4408370553431658241,4,True,False
180,x^4 - x^3 - 6*x + 8,4,0,2,4508,5,2*theta_K^3 + 2*theta_K^2 - 10,-3375,1,True,True
181,x^4 - x^3 - 6*x + 8,4,0,2,4508,-255/2*theta_K^3 - 255/2*theta_K^2 + 680,513*theta_K^3 + 513*theta_K^2 - 4560,16581375,1,True,True
182,x^4 - x^3 + 6*x^2 - 2*x + 4,4,0,2,4508,-15/2*theta_K^3 + 15/2*theta_K^2 - 30*theta_K + 10,9*theta_K^3 - 9*theta_K^2 + 36*theta_K - 44,-3375,1,True,True
183,x^4 - x^3 + 6*x^2 - 2*x + 4,4,0,2,4508,85,114*theta_K^3 - 114*theta_K^2 + 456*theta_K - 114,16581375,1,True,True
184,x^4 - x^3 + 4*x^2 - 6*x + 3,4,0,2,5445,512/3*theta_K^2 - 1024/3*theta_K + 512/3,7168/9*theta_K^3 + 7168/9*theta_K^2 - 7168/3*theta_K + 35840/27,-32768,1,True,True
185,x^4 - x^3 + 4*x^2 - 6*x + 3,4,0,2,5445,512*theta_K^3 - 2560/3*theta_K^2 + 2048/3*theta_K - 1024/3,-35840/27*theta_K^3 - 222208/9*theta_K^2 + 351232/9*theta_K - 480256/27,-32768,1,False,True
