,A,B,K,d,r,s,D,j,j_deg,gmm
571,-185271696372138633808216238331562004219169432834932736,-30694517298265269688469403291950338482797593449076131753497921378936701203775488,x^3 + 14*x - 14,3,1,1,-16268,406749952,1,False
572,-46628/3*theta_K^2 - 296464/3*theta_K - 152720,65335712/9*theta_K^2 + 369533440/9*theta_K + 1415541536/27,x^3 - 24*x - 38,3,3,0,16308,x^3 + 118011*x^2 + 3166340787*x + 1046605851577,3,True
573,-2400688388/3*theta_K^2 - 13332450496/3*theta_K - 5475502048,-662840364824128/9*theta_K^2 - 3681146788919360/9*theta_K - 13606286487718240/27,x^3 - 24*x - 38,3,3,0,16308,x^3 + 118011*x^2 + 3166340787*x + 1046605851577,3,True
574,-4768/3*theta_K^2 - 528*theta_K - 52624,-550400*theta_K^2 - 1645696/9*theta_K - 492046592/27,x^3 + 33*x - 11,3,1,1,-16335,-121,1,True
575,-11750307*theta_K^2 - 11711138/3*theta_K - 389057031,268524107146/3*theta_K^2 + 267628996984/9*theta_K + 80018396692984/27,x^3 + 33*x - 11,3,1,1,-16335,-24729001,1,True
576,303139712/3*theta_K^2 - 213496448/3*theta_K - 12490099600/3,100170818273792/9*theta_K^2 - 50992830136832/3*theta_K - 10705053312481664/27,x^3 - 33*x - 88,3,1,1,-16335,-121,1,True
577,-12394980642567144*theta_K^2 - 252140220778401752/3*theta_K - 482586044253505577/3,48970289052811710464039800/9*theta_K^2 + 36894801596974588347505368*theta_K + 1906608712141773276394701418/27,x^3 - 33*x - 88,3,1,1,-16335,-24729001,1,True
578,-10256/3*theta_K^2 - 41344/3*theta_K - 2560/3,-4341248/27*theta_K^2 - 17499136/27*theta_K - 119680/3,x^3 - 16*x - 1,3,3,0,16357,x^3 + 63200*x^2 - 101568400*x - 56667352321,3,True
579,-256/3*theta_K^2 - 256/3*theta_K - 16/3,5120/9*theta_K^2 - 128000/27*theta_K - 896/3,x^3 - 16*x - 1,3,3,0,16357,x^3 + 63200*x^2 - 101568400*x - 56667352321,3,True
580,-4112/3*theta_K^2 - 4352/3*theta_K - 256/3,-2032640/27*theta_K^2 + 3675136/27*theta_K + 79232/9,x^3 - 16*x - 1,3,3,0,16357,x^3 + 63200*x^2 - 101568400*x - 56667352321,3,True
581,-55552*theta_K^2 - 223920*theta_K - 41344/3,-31591936/3*theta_K^2 - 42447872*theta_K - 70537088/27,x^3 - 16*x - 1,3,3,0,16357,x^3 + 63200*x^2 - 101568400*x - 56667352321,3,True
582,-16/3*theta_K - 4096/3,-65536/27*theta_K^2 + 1024/27*theta_K + 524416/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 4291823872*x^2 + 9003896157634544*x - 4718909406724749250561,3,True
583,-1408*theta_K^2 - 33280/3*theta_K - 65552/3,-10484224/27*theta_K^2 - 34069504/27*theta_K + 29905024/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 4291823872*x^2 + 9003896157634544*x - 4718909406724749250561,3,True
584,-4096/3*theta_K^2 - 256/3*theta_K - 16/3,-16384/9*theta_K^2 - 8385536/27*theta_K - 58240/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 4291823872*x^2 + 9003896157634544*x - 4718909406724749250561,3,True
585,-133136/3*theta_K^2 - 536704/3*theta_K - 33280/3,-555596288/27*theta_K^2 - 2239550464/27*theta_K - 5105280,x^3 - 16*x - 1,3,3,0,16357,x^3 - 4291823872*x^2 + 9003896157634544*x - 4718909406724749250561,3,True
586,1192*theta_K^2 - 1840/3*theta_K - 63617/3,-2195944/27*theta_K^2 - 660352/27*theta_K + 31961218/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 18401735768448960688*x^2 + 27660667339681818486016*x + 16890211821653040073605121,3,True
587,-6401/3*theta_K^2 - 25864/3*theta_K - 1840/3,-12761576/27*theta_K^2 - 51442528/27*theta_K - 352654/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 18401735768448960688*x^2 + 27660667339681818486016*x + 16890211821653040073605121,3,True
588,-256/3*theta_K^2 + 224/3*theta_K - 1/3,-5632/9*theta_K^2 - 130016/27*theta_K - 910/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 18401735768448960688*x^2 + 27660667339681818486016*x + 16890211821653040073605121,3,True
589,80*theta_K^2 - 1/3*theta_K - 4096/3,-33280/27*theta_K^2 + 1024/27*theta_K + 524290/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 18401735768448960688*x^2 + 27660667339681818486016*x + 16890211821653040073605121,3,True
590,21840*theta_K^2 - 4096/3*theta_K - 350720,133136384/27*theta_K^2 - 2818048/9*theta_K - 2129657728/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 2201271470272*x^2 + 1206676223466064942498304*x - 79933842237085171569943511041,3,True
591,1011712/3*theta_K^2 - 96272/3*theta_K - 16314496/3,8119092736/27*theta_K^2 - 541515776/27*theta_K - 43336157824/9,x^3 - 16*x - 1,3,3,0,16357,x^3 - 2201271470272*x^2 + 1206676223466064942498304*x - 79933842237085171569943511041,3,True
592,-1280*theta_K^2 - 16/3*theta_K - 4096/3,-2129920/27*theta_K^2 - 63488/27*theta_K + 524416/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 2201271470272*x^2 + 1206676223466064942498304*x - 79933842237085171569943511041,3,True
593,-42368*theta_K^2 - 528640/3*theta_K - 96272/3,-545159680/27*theta_K^2 - 2189350912/27*theta_K - 102989696/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 2201271470272*x^2 + 1206676223466064942498304*x - 79933842237085171569943511041,3,True
594,-699008*theta_K^2 - 8454400/3*theta_K - 526352/3,-34768582144/27*theta_K^2 - 140126070784/27*theta_K - 8537030528/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1367400115486112194004920*x^2 - 1388030573133700583104894303360*x - 275667735646066942593015644161,3,True
595,-560896/3*theta_K^2 - 2000896/3*theta_K - 122896/3,-1443386368/9*theta_K^2 - 17978912768/27*theta_K - 123003776/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1367400115486112194004920*x^2 - 1388030573133700583104894303360*x - 275667735646066942593015644161,3,True
596,-34078736/3*theta_K^2 - 137367424/3*theta_K - 8454400/3,-2276785714688/27*theta_K^2 - 9177475588096/27*theta_K - 62759371648/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1367400115486112194004920*x^2 - 1388030573133700583104894303360*x - 275667735646066942593015644161,3,True
597,-11520*theta_K^2 - 122896/3*theta_K - 7936/3,-68254720/27*theta_K^2 - 266369024/27*theta_K - 14958464/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1367400115486112194004920*x^2 - 1388030573133700583104894303360*x - 275667735646066942593015644161,3,True
598,-11520*theta_K^2 + 122864/3*theta_K - 256/3,-68125696/27*theta_K^2 + 262113280/27*theta_K + 16007296/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1064843520139714261649848*x^2 - 1148403010528875318057494240384*x + 2478607996795779440452102719897601,3,True
599,-41088*theta_K^2 - 528640/3*theta_K - 157712/3,-540966400/27*theta_K^2 - 2190641152/27*theta_K - 174210944/27,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1064843520139714261649848*x^2 - 1148403010528875318057494240384*x + 2478607996795779440452102719897601,3,True
600,-553216/3*theta_K^2 + 1931264/3*theta_K + 122864/3,1375228928/9*theta_K^2 - 16921948160/27*theta_K - 39777920,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1064843520139714261649848*x^2 - 1148403010528875318057494240384*x + 2478607996795779440452102719897601,3,True
601,-2129936/3*theta_K^2 - 8581504/3*theta_K - 528640/3,-35591224832/27*theta_K^2 - 143465414656/27*theta_K - 981074816/3,x^3 - 16*x - 1,3,3,0,16357,x^3 - 1064843520139714261649848*x^2 - 1148403010528875318057494240384*x + 2478607996795779440452102719897601,3,True
602,-16/3*theta_K - 256/3,-1024/27*theta_K^2 - 1024/27*theta_K - 896/3,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 67808*x^2 + 99733616*x - 82483294977,3,True
603,-4112/3*theta_K^2 - 256/3*theta_K - 65792/3,-2081792/27*theta_K^2 - 130048/27*theta_K - 33316736/27,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 67808*x^2 + 99733616*x - 82483294977,3,True
604,-16/3*theta_K - 4096/3,-65536/27*theta_K^2 - 1024/27*theta_K - 58240/3,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 4298115328*x^2 - 9010493225041904*x - 4725826936714463031297,3,True
605,-4096/3*theta_K^2 + 256/3*theta_K - 16/3,-16384/9*theta_K^2 - 8391680/27*theta_K + 524416/27,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 4298115328*x^2 - 9010493225041904*x - 4725826936714463031297,3,True
606,-1280*theta_K^2 - 16/3*theta_K - 65536/3,-2129920/27*theta_K^2 - 65536/27*theta_K - 1242752,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 18491807766868396208*x^2 + 26057818200432908969216*x - 22022040007679453379362817,3,True
607,-4096/3*theta_K^2 - 3584/3*theta_K - 16/3,-360448/9*theta_K^2 - 8456192/27*theta_K + 524416/27,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 18491807766868396208*x^2 + 26057818200432908969216*x - 22022040007679453379362817,3,True
608,-4097/3*theta_K^2 - 256/3*theta_K - 65312/3,-2114048/27*theta_K^2 - 130048/27*theta_K - 33832958/27,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 2196775045312*x^2 + 1211176940807811366945280*x + 78526648472084686753614135297,3,True
609,80*theta_K^2 - 1/3*theta_K - 256/3,-33280/27*theta_K^2 + 992/27*theta_K - 910/3,x^3 + 16*x - 1,3,1,1,-16411,x^3 - 2196775045312*x^2 + 1211176940807811366945280*x + 78526648472084686753614135297,3,True
610,-8336877396836536228342464*theta_K^2 + 11592911058261964540699392*theta_K + 37390716221863435015527360,-45896829146840421031728181462504639488*theta_K^2 - 1153805754602909559293735614835744544768*theta_K - 1666328832954658294617864224737318984704,x^3 - x^2 + 26*x + 46,3,1,1,-16456,-121,1,True
611,-6812/3*theta_K^2 + 5764*theta_K - 203705/3,6763280/27*theta_K^2 - 17166796/27*theta_K + 202251910/27,x^3 - x^2 + 26*x + 46,3,1,1,-16456,-24729001,1,True
612,38896/3*theta_K^2 - 12736/3*theta_K - 210560,-48193408/27*theta_K^2 + 15487744/27*theta_K + 781539968/27,x^3 - x^2 - 16*x + 11,3,3,0,16585,x^3 - 110292*x^2 + 642123875*x - 752329532375,3,True
613,5744*theta_K^2 - 1968*theta_K - 280864/3,1981568/3*theta_K^2 - 210944*theta_K - 289072640/27,x^3 - x^2 - 16*x + 11,3,3,0,16585,x^3 - 36301*x^2 - 108419120*x + 2035346265217,3,True
614,1897542896/3*theta_K^2 - 610525136/3*theta_K - 30774826960/3,660470911790464/27*theta_K^2 - 212507022111104/27*theta_K - 10711667346341632/27,x^3 - x^2 - 16*x + 11,3,3,0,16585,x^3 - 1107204887065152*x^2 + 2026858666332384764525*x + 11897214273282859857897625,3,True
615,-852368/3*theta_K^2 - 1986272*theta_K - 10119824/3,-31628331392/27*theta_K^2 - 73703429632/9*theta_K - 375510168064/27,x^3 - 37*x - 83,3,3,0,16609,x^3 - 2825*x^2 - 3157124*x - 594823321,3,True
616,-16*theta_K^2 - 560/3*theta_K - 496,-25984/27*theta_K^2 - 53632/9*theta_K - 223744/27,x^3 - 37*x - 83,3,3,0,16609,x^3 - 2825*x^2 - 3157124*x - 594823321,3,True
617,-31*theta_K^2 + 325/3*theta_K + 2272/3,4874/27*theta_K^2 - 11348/27*theta_K - 158870/27,x^3 - 37*x - 83,3,3,0,16609,x^3 + 19871704397*x^2 + 340599802218030*x - 48116936075223959,3,True
618,-6496/3*theta_K^2 + 6296*theta_K + 185431/3,12024016/27*theta_K^2 - 34961080/27*theta_K - 343235606/27,x^3 - 37*x - 83,3,3,0,16609,x^3 + 19871704397*x^2 + 340599802218030*x - 48116936075223959,3,True
619,-17936*theta_K^2 - 384560/3*theta_K - 224496,-267299200/27*theta_K^2 - 623841664/9*theta_K - 3185245696/27,x^3 - 37*x - 83,3,3,0,16609,x^3 + 2965466680675885*x^2 - 167314463224707592092918134*x - 173865282489475374524466987001,3,True
620,82864/3*theta_K^2 - 236848/3*theta_K - 2394496/3,281168512/27*theta_K^2 - 815760640/27*theta_K - 2679519872/9,x^3 - 37*x - 83,3,3,0,16609,x^3 + 2965466680675885*x^2 - 167314463224707592092918134*x - 173865282489475374524466987001,3,True
621,624*theta_K^2 + 17104/3*theta_K - 11344/3,7551104/27*theta_K^2 + 55418240/27*theta_K + 78045184/27,x^3 - 37*x - 83,3,3,0,16609,x^3 + 1896514837069652763497*x^2 + 17727084896669112042143896132770*x - 1340285450850297152051679690614999,3,True
622,545696/3*theta_K^2 - 1564816/3*theta_K - 15488416/3,914664064/9*theta_K^2 - 7878118528/27*theta_K - 77919906688/27,x^3 - 37*x - 83,3,3,0,16609,x^3 + 1896514837069652763497*x^2 + 17727084896669112042143896132770*x - 1340285450850297152051679690614999,3,True
623,-64/3*theta_K^2 - 64/3*theta_K,-1024/27*theta_K^2 - 2048/27*theta_K - 1024/27,x^3 - 28*x - 28,3,3,0,16660,1792,1,True
624,-3904/3*theta_K^2 - 3904/3*theta_K,-2581504/27*theta_K^2 - 5163008/27*theta_K - 2581504/27,x^3 - 28*x - 28,3,3,0,16660,406749952,1,True
625,-55064992/3*theta_K^2 + 293396272/3*theta_K + 712463152/3,-4336427453696/27*theta_K^2 + 23105404519168/27*theta_K + 18702099566080/9,x^3 - x^2 - 36*x - 56,3,3,0,16684,x^3 + 7320179554944*x^2 - 524708810158796800*x + 191919508888525733888,3,True
626,-348131680/3*theta_K^2 + 978968176/3*theta_K + 10758763184/3,118599735000320/27*theta_K^2 - 111168822337792/9*theta_K - 1221755158812160/9,x^3 - x^2 - 36*x - 56,3,3,0,16684,x^3 + 7320179554944*x^2 - 524708810158796800*x + 191919508888525733888,3,True
627,69376/9*theta_K^2 - 421456/9*theta_K - 123664/3,-655232/3*theta_K^2 + 3971968/3*theta_K + 31475072/27,x^3 - x^2 - 36*x - 27,3,3,0,16737,x^3 + 27244*x^2 - 108520741*x + 100869311375,3,True
628,-604336/9*theta_K^2 + 3662176/9*theta_K + 1075184/3,52382464*theta_K^2 - 952319872/3*theta_K - 7546741504/27,x^3 - x^2 - 36*x - 27,3,3,0,16737,x^3 - 824614856*x^2 - 5828654384659*x + 10743389437511375,3,True
629,-1021184/9*theta_K^2 + 6141104/9*theta_K + 1804016/3,-989372032/9*theta_K^2 + 5991991936/9*theta_K + 15829109120/27,x^3 - x^2 - 36*x - 27,3,3,0,16737,x^3 + 31565135849434*x^2 - 1035227318092328575789*x - 16480108716378420344640625,3,True
630,-855400672614761437441289709818400*theta_K^2 + 3881315024301070078947839812789200*theta_K - 238382938918147444138787660402400,-51223497860488112755294223074710937462072371520000*theta_K^2 + 233800016286671558056328807174457859557289878224000*theta_K - 14360724836751561287008466878327536353439944016000,x^3 - x^2 - 16*x + 1,3,3,0,16905,x^3 - 80166*x^2 + 506174997*x - 783012621313,3,False
631,-29759337197615405191129402095654952795208512246800*theta_K^2 - 104261580610203252358133130685432883287785358966800*theta_K + 6608055844572329037134354941251704617037204088000,373913768834482751493847612007484945375390844404865008548226040995783536000*theta_K^2 + 1310003986720164772696591836023632364130158448139613219211789685717067456000*theta_K - 83027514879770239743407548851947507030784529294836201978442815321954240000,x^3 - x^2 - 16*x + 1,3,3,0,16905,x^3 - 10861746*x^2 + 18702133578177*x - 732741292027261153,3,False
632,-1269655007507753208850401522985550565513318006674706795494566453599692345145264*theta_K^2 - 4448226463824011329932674527706391684270298351103180213437400070718629481543632*theta_K + 281926767137189371660840626530396822782268744090730395717795724372487376838576,3296435687850675771539118676542253792763733341859559612409567595681201426812481918212055067790446359019944834437780608*theta_K^2 + 11549036845665493669244708831724013682599129254396348723005870596090599234057029727223493002279041952039533056644261504*theta_K - 731973214028898012340872004963222228978261945782130970274972001263948606892272150192260150270618036826959708414479872,x^3 - x^2 - 16*x + 1,3,3,0,16905,x^3 - 34688654442221*x^2 + 195124920550747771756042*x - 6857223784255791015215719833,3,False
633,-104/3*theta_K^2 + 160/3*theta_K + 2696/3,-213568/27*theta_K^2 + 319232/27*theta_K + 5608768/27,x^3 - x^2 - 27*x - 13,3,3,0,17132,x^3 - 19486*x^2 - 5721867*x + 23887872,3,True
634,4972*theta_K^2 - 19288*theta_K - 74336,909664*theta_K^2 - 3528832*theta_K - 40801888/3,x^3 - 30*x - 58,3,3,0,17172,432,1,True
635,-8740*theta_K^2 + 20856*theta_K + 212432,1957760*theta_K^2 - 4671744*theta_K - 142754272/3,x^3 - 30*x - 58,3,3,0,17172,432,1,True
636,-1066/3*theta_K^2 - 6682/3*theta_K - 9880/3,218080/9*theta_K^2 + 1366384/9*theta_K + 2018744/9,x^3 - 30*x - 58,3,3,0,17172,-316368,1,True
637,-69862/3*theta_K^2 + 270686/3*theta_K + 1043744/3,48008056/9*theta_K^2 - 186224528/9*theta_K - 717753544/9,x^3 - 30*x - 58,3,3,0,17172,-316368,1,True
638,-143413696/15*theta_K^2 + 658829312/15*theta_K - 23646464/5,11552967394304/135*theta_K^2 - 684721850368/135*theta_K - 25463751431168/15,x^3 + 8*x - 126,3,1,1,-17228,x^3 - 1278775302400*x^2 - 17712203230937088*x - 62560938713665241088,3,True
639,-957713023778513557332528/5*theta_K^2 + 62878281004280079723744/5*theta_K + 557286354446622452367696,-17218805712889655393659654229523456*theta_K^2 - 184443644380873740146859070062490752*theta_K - 2401214154567562983215171055828155904,x^3 - x^2 - 6*x - 125,3,1,1,-17399,x^3 - 8243*x^2 + 21518380*x - 18420660721,3,False
640,-232376984220273161599984946021970877189580419728/5*theta_K^2 - 1110727823560594546756791467095440704845491218256/5*theta_K - 1005116326009645067663908526720658084168972787824,35061581755235206947066276743574878416331531455200525591368791794665856*theta_K^2 + 167589206496289229601829424971922634174605225729658344995827910865834112*theta_K + 758271486250803515416559192537898592423575541383586976645791762790973696,x^3 - x^2 - 6*x - 125,3,1,1,-17399,x^3 - 39736759943*x^2 + 152107690650610*x - 155166666621176881,3,False
641,-70400*theta_K^2 - 1536448/3*theta_K - 2729168/3,2117074688/27*theta_K^2 + 15401112320/27*theta_K + 27355710592/27,x^3 - 40*x - 94,3,3,0,17428,x^3 + 3022576*x^2 + 2226246847232*x + 47866942449897472,3,False
642,6944/3*theta_K^2 - 238432/3*theta_K - 1121872/3,33001856/9*theta_K^2 + 380197120/27*theta_K - 48846464/9,x^3 - 40*x - 94,3,3,0,17428,x^3 + 3022576*x^2 + 2226246847232*x + 47866942449897472,3,True
643,5780/3*theta_K^2 - 42688/3*theta_K - 100132/3,71890384/27*theta_K^2 + 130803776/27*theta_K - 6990992/27,x^3 - x^2 + 16*x + 40,3,1,1,-17672,47,1,True
644,2098134022975909391753808*theta_K^2 + 1441162640130302519205600*theta_K - 2374439687773305323022192,23152319390268985693737834850303068544*theta_K^2 + 27249886869292707551435111756443584256*theta_K - 34988793639445215452659903293567599232,x^3 - x^2 + 26*x - 20,3,1,1,-17787,-121,1,False
645,573187698140615865175832970002765686260710879837150802768*theta_K^2 + 393710166889575085033139652536243602594993261849298277600*theta_K - 648671440482203364237359055109714459723750967281361093232,-26744184502723437580149319621545751599905032424857305771907033566967627900217159471744*theta_K^2 - 31477451128158349805227296200292243337118539123633318316790170989115618646533091021056*theta_K + 40416976668624280181975593663556172463622743455521340629102737862979948873507350888832,x^3 - x^2 + 26*x - 20,3,1,1,-17787,-24729001,1,False
646,-1090790993147230184481990457045584905668193785397990376712840911158798824364526929200538141304*theta_K^2 + 246045412604970062016519007604334037840177300892690447899437754197844247722164274594590317880*theta_K - 28170019900366849986516864737502471390639098086456878501617180472532525901014280679434228117712,71044128666015931864020147401384064298169509345087483934926738779146003156358618547391217051619804665549758440597410578288455729165424447616*theta_K^2 - 16025143277316268120272584542739194956871692345517826896078128454356262246691498506178262480218068787533119058583431584392271316968259740672*theta_K + 1834736930263379187300571904069268172279179190720663198005467464457515444947449007175322523492699514867618793140872812892128118275024891632512,x^3 - x^2 + 26*x - 20,3,1,1,-17787,x^3 + 122743164724544413051*x^2 - 37963442437547022552701133*x + 2935726615073301191884909680057,3,False
647,-514856/9*theta_K^2 + 2149768/9*theta_K - 2205899/9,1424116856/81*theta_K^2 + 12622906712/81*theta_K - 27609646450/81,x^3 + 27*x - 55,3,1,1,-17823,x^3 - 2062*x^2 + 3110869*x + 15438249,3,True
648,-11392/3*theta_K^2 + 35920/3*theta_K + 275648/3,-7512704/27*theta_K^2 + 23624320/27*theta_K + 182213120/27,x^3 - x^2 - 31*x - 52,3,3,0,17893,x^3 + 268059*x^2 + 165686267*x - 425259008000,3,True
649,-2367616*theta_K^2 + 32665552/3*theta_K + 102627008/3,211451889536/27*theta_K^2 - 972454153088/27*theta_K - 3055206264320/27,x^3 - x^2 - 31*x - 52,3,3,0,17893,x^3 + 268059*x^2 + 165686267*x - 425259008000,3,True
650,69*theta_K^2 - 512*theta_K - 4336/3,746*theta_K^2 - 19918/3*theta_K - 474856/27,x^3 - x^2 - 31*x - 52,3,3,0,17893,x^3 + 19286947900620537*x^2 + 1762763555645086457123*x - 1710036115477546139648000,3,True
651,16727/3*theta_K^2 - 70448/3*theta_K - 470192/3,16893446/27*theta_K^2 - 22821986/9*theta_K - 465214664/27,x^3 - x^2 - 31*x - 52,3,3,0,17893,x^3 + 19286947900620537*x^2 + 1762763555645086457123*x - 1710036115477546139648000,3,True
652,143/2*theta_K^2 - 1175/2*theta_K + 995/3,5299/3*theta_K^2 - 27547/3*theta_K + 133450/27,x^3 - x^2 - 26*x + 16,3,3,0,17905,x^3 - 6919*x^2 + 14069760*x - 8589934592,3,True
653,3368596298341/6*theta_K^2 - 1314413143229/6*theta_K - 44192519010133/3,7013461830239044831/27*theta_K^2 - 2736625462395374695/27*theta_K - 184018812462614162270/27,x^3 - x^2 - 26*x + 16,3,3,0,17905,x^3 - 6919*x^2 + 14069760*x - 8589934592,3,True
654,13/15*theta_K^2 + 2/5*theta_K - 25,-86/9*theta_K^2 + 172/27*theta_K + 1978/9,x^3 - x^2 + 4*x - 130,3,1,1,-17908,-121,1,True
655,-469346528849912/15*theta_K^2 - 787264328292048/5*theta_K + 1636383507411765,-9696451788236180198252/9*theta_K^2 + 160257694588752222437896/27*theta_K - 18358628401545545226062/9,x^3 - x^2 + 4*x - 130,3,1,1,-17908,-24729001,1,True
656,-464/3*theta_K^2 + 1248*theta_K - 5264/3,602624/81*theta_K^2 - 1502080/27*theta_K + 4605952/81,x^3 - x^2 - 34*x + 7,3,3,0,17929,x^3 - 37219976*x^2 - 328656319327*x - 169305109841161,3,True
657,-20912/9*theta_K^2 + 40576/3*theta_K - 24064/9,-25750144/81*theta_K^2 + 57026816/27*theta_K - 33973376/81,x^3 - x^2 - 34*x + 7,3,3,0,17929,x^3 - 1236677536*x^2 - 14068260597465*x + 3545671208565303,3,True
658,-2261232*theta_K^2 + 14609456*theta_K - 8695648/3,-249460293760/81*theta_K^2 + 537242668544/27*theta_K - 319770540032/81,x^3 - x^2 - 34*x + 7,3,3,0,17929,x^3 + 729293670760*x^2 - 1700885353887349*x + 614556433490430599,3,True
659,-6654161391899222353445568*theta_K^2 - 21035720982419119104354864*theta_K + 25584994139690683944443088,19445854287694603646284550671651015680*theta_K^2 + 61473966454682604967338511304617926144*theta_K - 74768578667982058565752862539293583488,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 4462*x^2 + 4865410*x + 7189057,3,True
660,-17320093708669651057968*theta_K^2 - 54746742672702603897552*theta_K + 66539677619417949430272,2582278025727919628658255854891904*theta_K^2 + 8164200866113105693555337609408640*theta_K - 9925090485860623106765843086583808,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 4462*x^2 + 4865410*x + 7189057,3,False
661,135405978007827576458018314924239881074779216*theta_K^2 - 8399760145661737771163432509455838996558560*theta_K - 2309780316444570193562336287765434855546408240,-2443724469509356132364779308305215307519125184107200638515331039232*theta_K^2 + 151593745770793343826474439411488785151559768705306080543083466240*theta_K + 41685505777007632475966800050806989225315706624350164315902214271872,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 6406184398*x^2 - 42106072834*x + 19400056703,3,True
662,4885577636994189074287846007029934541980064*theta_K^2 - 303071407387335919099531558231545475970352*theta_K - 83339090536605472937363799909746176676370432,-16748247056633989546665474569694103925842455746977269203228537472*theta_K^2 + 1038958989889547523794937412866762505574760490573297408177004160*theta_K + 285694708280365831980726743068841777077915752995788988428378699776,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 6406184398*x^2 - 42106072834*x + 19400056703,3,False
663,-6274473688981669373956227279254741424*theta_K^2 - 24426767689027249297459589338220177760*theta_K + 5294090092543658977403469739320981072,-44152157554394085471093489530060304374378861568855556608*theta_K^2 - 131164908804208057831649040012953740192251038013960559104*theta_K + 204249319506991328371715051912596406199324367167698175360,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 229768*x^2 + 16509768056*x - 361446235206337,3,True
664,-2357706157502298609087327273366753504*theta_K^2 - 4253143134354532865923033630125503280*theta_K + 5228742826133698323706837527048634368,-6165238417097282180763062760926517025875340572438874752*theta_K^2 - 14140875133905316653581033076451399946555964050688004992*theta_K + 18978150667317713781181491431768761802747360592162035712,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 229768*x^2 + 16509768056*x - 361446235206337,3,False
665,-1562156571117711130526805842575488756795977616522700081170240*theta_K^2 - 4938371018665450124820947532816554891041307035489657869239088*theta_K + 6006379388937207274091486190302709869095350254939905198534224,-3877823830377813302573513587147692260538029070790114951188188038664823815766689649030862848*theta_K^2 - 12258921682692061343669462846069921933620922142071629812079591835179257925268904908471854080*theta_K + 14910086488651537294883834581164280182394784718017084314173510042330433390432041951353794944,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 13026200068*x^2 + 19038340062892267556*x - 38702940341194825952257,3,True
666,-417991417881849725299106218919427104579635369341720754225392*theta_K^2 - 1223377518765586846530530271937390395854943469354295361668352*theta_K + 1515227310080926881125267133179809310765622858582575800712448,-517247248452279609483943128312551922818841327945606624641674166099003378906736842375007360*theta_K^2 - 1608660069460180116295538418277271794188915034000564976525257568728871298959966338544155008*theta_K + 1963932619527004147839769795860173045528380558837317734138177713206020925810746844449667072,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 13026200068*x^2 + 19038340062892267556*x - 38702940341194825952257,3,False
667,-229509121723566704492091938558969707053842352132239737661056828091745887195716430064*theta_K^2 + 1170325574931077152664681850942770364218910189431231216136017001915261389077156841472*theta_K - 895808091361342075203744786838587943655595926868887695138066588624782875342914339584,-272990720633360251793623964498045796258380512863233143539653876451975771198697871382649041312692127488559325395458508341530752*theta_K^2 + 1392049342861828343612678508238830539048048961855851699741941457144280610177541431308179342826862957831661897300690479650668160*theta_K - 1065523211336558049006368365608379149443084564594836185663871157451333852069519293740886393887809115499297152412302675500435456,x^3 - x^2 - 17*x + 16,3,3,0,17989,x^3 - 128790882217858394278*x^2 - 4991448754690259675370784*x + 7577900981539692133167489023,3,False
